"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"GCA_003417435.1_QVMX01000003.1_905" 24.306069557271 -1.07795455311627 0.187945168790846 -5.63537202816171 1.74680821026488e-08 0.000101105259210131
"GCA_003417435.1_QVMX01000003.1_796" 12.9353816189289 -1.00180761588592 0.17622351138599 -4.92237186253259 8.55015477274688e-07 0.00329921972164393
"GCA_003417435.1_QVMX01000004.1_54" 12.3235826541113 -0.884390969202347 0.175021761323142 -4.77937627971433 1.75839835724723e-06 0.00508880484587349
"GCA_003417435.1_QVMX01000002.1_745" 9.90962904335423 -0.824444802002566 0.167102819511206 -4.25828955312889 2.05997018356723e-05 0.0397436914082903
"GCA_002370525.2_AP014630.1_1579" 140.114404698336 -0.750149457335006 0.160584365602158 -4.6625445656742 3.12323423886162e-06 0.00723091190981242
"GCA_003417435.1_QVMX01000002.1_743" 14.6306908837534 -0.669586690800017 0.182786082344008 -3.65312873498474 0.000259064264334435 0.12790006008612
"GCA_002370525.2_AP014630.1_4222" 205.587610461705 -0.652451970717912 0.159919336393908 -4.07753842276815 4.55150101727168e-05 0.0491249202163304
"GCA_002370525.2_AP014630.1_1578" 139.273634301873 -0.608264580041941 0.161287974631408 -3.76673348443398 0.000165397400870091 0.0957320156236088
"MAG15_265_1" 31.9333253001978 -0.600683020864149 0.190147685134967 -3.14728286064996 0.00164795455481073 0.399125103577937
"GCA_003417435.1_QVMX01000010.1_47" 26.161247725395 -0.589675119672804 0.188964845798148 -3.13226463220884 0.00173463447662678 0.409798544927175
"GCA_003417435.1_QVMX01000002.1_333" 9.67391390228171 -0.587803272099532 0.166092484484473 -3.57619447140843 0.000348632342805554 0.139164413804038
"GCA_003417435.1_QVMX01000001.1_608" 13.1392285290387 -0.582678201594705 0.180090196881262 -3.23065081708309 0.00123508725381041 0.339328684130247
"GCA_003417435.1_QVMX01000003.1_857" 28.1499268234802 -0.548616853662249 0.190444392421809 -2.8739236896737 0.00405406903424964 0.545696548145045
"GCA_002370525.2_AP014630.1_3911" 64.2654146412296 -0.528939070047778 0.179937077933777 -2.93628071346384 0.00332173580340301 0.486739413420168
"GCA_003417435.1_QVMX01000003.1_179" 9.53586475674142 -0.522805588549442 0.169649160051329 -3.10091459099151 0.00192923928382414 0.416174253058143
"GCA_003417435.1_QVMX01000001.1_310" 58.6232332957215 -0.518276077545953 0.180836014935241 -2.86196547761598 0.00421022763328682 0.560083972227307
"GCA_003417435.1_QVMX01000002.1_966" 10.7762476402817 -0.517599052861109 0.170444308171083 -3.07138079495246 0.00213071223621136 0.4315763829915
"MAG15_7_36" 35.2020514604848 -0.514773185819408 0.189611130627695 -2.71018928765406 0.00672448197423229 0.741358126987743
"GCA_003417435.1_QVMX01000002.1_151" 22.1884208785997 -0.508879994362807 0.189416866262793 -2.68791134643132 0.00719004830783692 0.754974538702923
"GCA_003417435.1_QVMX01000003.1_626" 8.67595280624321 -0.506213911508536 0.167418244478416 -3.03210209336578 0.00242857049546844 0.43182897969821
"GCA_002370525.2_AP014630.1_1405" 66.7462376642354 -0.505448436013449 0.177716186705003 -2.84079159730849 0.00450017102350589 0.578821997423379
"GCA_003417435.1_QVMX01000004.1_147" 9.25573502390944 -0.499926218115821 0.162837828737628 -3.14603955045908 0.00165497624151183 0.399125103577937
"MAG15_217_4" 1234.38309317964 -0.499592130728423 0.131628146092625 -3.79508492747761 0.000147592925170893 0.0949186500987922
"GCA_000046845.1_CR543861.1_300" 43.2054276629889 -0.496436566119022 0.188257972390915 -2.63113060718839 0.00851013242000146 0.791676009063123
"GCA_003417435.1_QVMX01000001.1_305" 34.976962202942 -0.492057752919056 0.190055853936767 -2.58803681866358 0.00965246627898686 0.805911809304507
"MAG15_217_3" 1242.2347905974 -0.487699862232626 0.126264482404232 -3.86213706446053 0.000112399472344738 0.0765374289330992
"MAG15_39_21" 57.0368215624704 -0.478828648513599 0.182434587084929 -2.61959793084975 0.00880334921069556 0.791676009063123
"GCA_003417435.1_QVMX01000003.1_623" 9.5932177705516 -0.466521315864368 0.167394308394255 -2.8275693622023 0.00469028533834534 0.583814441684793
"GCA_003417435.1_QVMX01000002.1_374" 10.0289103864184 -0.455096472520794 0.168772632076181 -2.71604964750109 0.00660660100084898 0.73536551140219
"GCA_000046845.1_CR543861.1_1895" 36.8752209678405 -0.445016119743582 0.189980024112094 -2.33719235183069 0.0194291846771177 0.999926149255111
"GCA_000046845.1_CR543861.1_2662" 24.5567661357325 -0.435274344309613 0.188577769993118 -2.30959064252753 0.0209108281547639 0.999926149255111
"MAG15_75_2" 345.575629431672 -0.434507497617731 0.139445173945813 -3.11538924501791 0.00183702320750601 0.416174253058143
"GCA_000046845.1_CR543861.1_1584" 1363.70098403084 -0.434126255646489 0.158628179252452 -2.73679884568182 0.00620402160040584 0.711066871745524
"GCA_002370525.2_AP014630.1_2876" 43.8921986677187 -0.432975153073919 0.187632933814918 -2.30601498878332 0.0211097948276626 0.999926149255111
"GCA_000046845.1_CR543861.1_1487" 32.4329796982255 -0.426284946514549 0.190385749178893 -2.23443894076259 0.0254542058949464 0.999926149255111
"GCA_002370525.2_AP014630.1_1580" 143.256733252123 -0.425623473990541 0.161777816811626 -2.63017281709225 0.00853414729202288 0.791676009063123
"MAG15_56_7" 47.0244478645933 -0.424672473241419 0.186207206889672 -2.27718350681413 0.0227752696222425 0.999926149255111
"GCA_000046845.1_CR543861.1_1992" 145.848963199592 -0.422219220964001 0.171014505049761 -2.46706198677259 0.0136226772985009 0.971641683135944
"GCA_000046845.1_CR543861.1_106" 438.964857095497 -0.419352731839011 0.15995222950699 -2.62149519891604 0.00875449953944995 0.791676009063123
"GCA_000046845.1_CR543861.1_3099" 216.631068430357 -0.417451861083875 0.160433115396302 -2.60068641897222 0.00930374546318643 0.791676009063123
"MAG15_7_34" 57.1742636646435 -0.417123216899734 0.184243808070261 -2.26136688153817 0.023736547810646 0.999926149255111
"GCA_000046845.1_CR543861.1_1835" 35.0298956729563 -0.416309096685444 0.189807250287884 -2.18945930458096 0.0285634732980542 0.999926149255111
"GCA_003417435.1_QVMX01000010.1_45" 5.96316177863073 -0.416073586046866 0.148531030766095 -2.85840826490893 0.0042577219727024 0.560083972227307
"GCA_000046845.1_CR543861.1_105" 1024.64109447139 -0.415860121670429 0.141453688573456 -2.93977654302422 0.00328449025594982 0.486739413420168
"MAG15_37_30" 6.70504396789277 -0.41368645622092 0.153181461644465 -2.74544967166605 0.00604280352686464 0.700335138938136
"GCA_000046845.1_CR543861.1_1993" 87.6827349244407 -0.412601159251881 0.177979435707691 -2.31588814867319 0.0205643765772124 0.999926149255111
"GCA_003417435.1_QVMX01000005.1_223" 16.2085774583234 -0.404225052200689 0.186160315345829 -2.16968535626999 0.0300306901479523 0.999926149255111
"GCA_000046845.1_CR543861.1_288" 44.2619575010389 -0.400244923007362 0.190490999388038 -2.10020249756103 0.0357110317708691 0.999926149255111
"GCA_002370525.2_AP014630.1_2512" 665.348250357253 -0.399925751951017 0.163235929953995 -2.45052850220865 0.014264666869554 0.971641683135944
"GCA_003417435.1_QVMX01000001.1_453" 13.4719357682642 -0.399152753920561 0.180685128096208 -2.21672680851631 0.0266417656758624 0.999926149255111
"GCA_002370525.2_AP014630.1_1574" 20.5080794164385 -0.398291946230863 0.189273923707254 -2.10449187712432 0.0353355624377059 0.999926149255111
"MAG15_68_7" 40.7735614750434 -0.395647091497167 0.187735403733467 -2.1027238018421 0.0354899201853614 0.999926149255111
"MAG15_73_7" 30.4710657396453 -0.395610457275752 0.190490211583457 -2.07160584378885 0.0383022145050076 0.999926149255111
"MAG15_63_18" 1019.58145530615 -0.39558832051118 0.127802492501948 -3.09511167954355 0.00196738803649189 0.416174253058143
"MAG15_77_22" 34.9218172332408 -0.395483231398053 0.189441164983818 -2.08303455223953 0.0372480741954766 0.999926149255111
"MAG15_4_23" 121.965790799919 -0.395029797753605 0.16021656377395 -2.46411218332163 0.0137353113940393 0.971641683135944
"GCA_003417435.1_QVMX01000001.1_452" 18.5755097149159 -0.394740987050343 0.185463427668927 -2.13774170952164 0.0325377122857789 0.999926149255111
"GCA_000046845.1_CR543861.1_1577" 1726.93744938956 -0.394266766129168 0.155986758050942 -2.52758431572527 0.0114850242985101 0.897542171207625
"MAG15_86_13" 29.8571364747516 -0.394042927956638 0.190364476232938 -2.06738876497482 0.0386975360519471 0.999926149255111
"GCA_002370525.2_AP014630.1_4223" 336.245927787325 -0.390003336118483 0.166355415885302 -2.34498639968244 0.0190277736605534 0.999926149255111
"MAG15_217_2" 1011.36985791996 -0.386870673456599 0.128709926243249 -3.00549145344066 0.00265152047503443 0.442507962197063
"MAG15_50_2" 157.371743355916 -0.386464355649531 0.156889570452718 -2.46149921154318 0.013835770184853 0.971641683135944
